origin|avoid|destination|mode|units|departure_time|distance|end_y|start_y|duration-sec|start_x|duration_in_traffic-sec|duration|end_x|duration_in_traffic
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 03:00:00.108818|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1011|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 03:00:00.873095|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 03:05:00.103935|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1024|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 03:05:00.892684|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 03:10:00.109401|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1041|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 03:10:00.566924|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 03:15:00.109156|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1033|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 03:15:00.894307|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 03:20:00.113097|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1018|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 03:20:00.903367|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 03:25:00.108870|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|997|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 03:25:00.534585|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 03:30:00.108837|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|985|18 mins|-93.2012623|16 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 03:30:00.550116|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 03:35:00.109073|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|993|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 03:35:01.058902|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 03:40:00.108985|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|992|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 03:40:00.610157|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 03:45:00.109035|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|991|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 03:45:00.541882|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 03:50:00.109262|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|993|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 03:50:01.002533|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 03:55:00.060025|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|991|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 03:55:00.866893|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 04:00:00.093426|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|984|18 mins|-93.2012623|16 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 04:00:00.584036|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 04:05:00.109029|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|991|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 04:05:01.065716|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 04:10:00.108775|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|998|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 04:10:00.842256|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 04:15:00.108158|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|995|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 04:15:00.572334|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 04:20:00.108070|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1008|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 04:20:00.548032|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 04:25:00.116322|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1001|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 04:25:00.992134|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 04:30:00.109108|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1011|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 04:30:00.878998|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 04:35:00.108940|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|995|18 mins|-93.2012623|17 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 04:35:00.535001|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 04:40:00.108514|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|987|18 mins|-93.2012623|16 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 04:40:00.879882|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 04:45:00.116191|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|977|18 mins|-93.2012623|16 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 04:45:00.540073|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 04:50:00.108466|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|975|18 mins|-93.2012623|16 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 04:50:01.155723|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 04:55:00.109008|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|970|18 mins|-93.2012623|16 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 04:55:01.033763|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 05:00:00.115701|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|972|18 mins|-93.2012623|16 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 05:00:00.545967|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 05:05:00.107306|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|975|18 mins|-93.2012623|16 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 05:05:00.517310|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 05:10:00.109064|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|989|18 mins|-93.2012623|16 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 05:10:00.543209|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 05:15:00.108704|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1055|18 mins|-93.2012623|18 mins
Target Field Minneapolis MN||Minneapolis-Saint Paul International Airport|transit|imperial|2017-03-22 05:15:01.029447|8.9 mi|44.88073199999999|44.9807362|1787|-93.2785451|n/a|30 mins|-93.205067|n/a
Target Field Minneapolis MN|tolls|Minneapolis-Saint Paul International Airport|driving|imperial|2017-03-22 05:20:00.108808|12.5 mi|44.8803389|44.9807362|1065|-93.2785451|1015|18 mins|-93.2012623|17 mins
