origin|split_on_leg|drive_leg|avoid|destination|mode|units|timezone|departure_time|split_point|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:24:00-05:00|Park Street|5.1 mi|42.3563193|-71.0622047|853|946|-71.1191387|42.3736294|2.3 mi|42.374262|-71.030395|n/a|799|-71.0623081|42.3563808
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:24:00-05:00|State|3.7 mi|42.3586466|-71.057326|n/a|1094|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|607|641|-71.0571914|42.3586696
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:24:00-05:00|Maverick|5.0 mi|42.3691186|-71.0395296|n/a|1674|-71.118956|42.373362|1.4 mi|42.3747715|-71.0290294|307|318|-71.0396719|42.3691933
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:24:00-05:00|Government Center|3.6 mi|42.3597135|-71.0591799|n/a|982|-71.118956|42.373362|2.9 mi|42.3747715|-71.0290294|506|531|-71.0597895|42.3596291
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:24:00-05:00|Airport Station|5.6 mi|42.374262|-71.030395|n/a|1794|-71.118956|42.373362|0.6 mi|42.3747715|-71.0290294|106|108|-71.0305389|42.3745164
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:24:00-05:00|Aquarium|4.0 mi|42.3597918|-71.0515702|n/a|1475|-71.118956|42.373362|3.1 mi|42.3747715|-71.0290294|634|669|-71.0515464|42.3596586
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-12 05:36:00-05:00||10.7 mi|42.3747715|-71.0290294|1455|1541|-71.1191387|42.3736294|||||||
Harvard transit station Boston MA|begin|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:36:00-05:00||5.7 mi|42.374262|-71.030395|n/a|1724|-71.118956|42.373362|||||||
Harvard transit station Boston MA|end|||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:36:00-05:00||5.7 mi|42.374262|-71.030395|n/a|1724|-71.118956|42.373362|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-12 05:36:00-05:00|Kendall|2.3 mi|42.3623895|-71.0862031|608|702|-71.1191387|42.3736294|3.7 mi|42.374262|-71.030395|n/a|1163|-71.0862248|42.3622401
