origin|split_on_leg|driver_leg|avoid|destination|mode|units|timezone|departure_time|split_point|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:45:00-05:00|Addison & Elston|11.2 mi|41.9466122|-87.7089595|n/a|1871|-87.904221|41.977665|2.7 mi|41.9472917|-87.6565753|690|777|-87.7089595|41.9466122
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:45:00-05:00|Addison & Greenview|13.4 mi|41.946976|-87.66655|n/a|2931|-87.904221|41.977665|0.5 mi|41.9472917|-87.6565753|154|145|-87.6663359|41.9470228
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:45:00-05:00|Addison Blue Line Station|10.8 mi|41.9465079|-87.7179123|n/a|1364|-87.904221|41.977665|3.2 mi|41.9472917|-87.6565753|789|925|-87.7179123|41.9465079
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:45:00-05:00|Addison & Wolcott|12.9 mi|41.946835|-87.676224|n/a|2751|-87.904221|41.977665|1.0 mi|41.9472917|-87.6565753|342|320|-87.6762239|41.9468801
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:45:00-05:00|Addison & California|11.8 mi|41.946625|-87.698135|n/a|2344|-87.904221|41.977665|2.1 mi|41.9472917|-87.6565753|530|610|-87.697853|41.9466942
Ohare Airport|end|finish||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 05:45:00-05:00|Addison & Clark|14.0 mi|41.947147|-87.656181|n/a|3137|-87.904221|41.977665|128 ft|41.9472917|-87.6565753|15|12|-87.6561833|41.9472015
Ohare Airport|||tolls|Wrigley Field Chicago IL|driving|imperial|central|2017-04-11 06:00:00-05:00||13.5 mi|41.9472917|-87.6565753|1873|1730|-87.8822525|41.9797233|||||||
Ohare Airport|begin|||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 06:00:00-05:00||14.0 mi|41.947147|-87.656181|n/a|3041|-87.904221|41.977665|||||||
Ohare Airport|end|||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 06:00:00-05:00||14.0 mi|41.947147|-87.656181|n/a|2930|-87.904221|41.977665|||||||
Ohare Airport|begin|start||Wrigley Field Chicago IL|transit|imperial|central|2017-04-11 06:00:00-05:00|Addison|10.3 mi|41.9472665|-87.7191813|1000|756|-87.8822525|41.9797233|3.3 mi|41.947147|-87.656181|n/a|1385|-87.718247|41.9473745
