origin|split_on_leg|avoid|destination|mode|units|timezone|departure_time|split_point|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 05:00:00-05:00|Northern Blvd|8.1 mi|40.7530768|-73.9069949|1204|1561|-73.9932975|40.7295629|4.0 mi|40.7718584|-73.87163199999999|n/a|2097|-73.9071013|40.7531039
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 05:00:00-05:00|34 St - Penn Station|2.3 mi|40.7521266|-73.99326289999999|649|1024|-73.99977539999999|40.7271183|9.4 mi|40.7718584|-73.87163199999999|n/a|2937|-73.9933338|40.7520124
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 05:00:00-05:00|Court Sq|4.0 mi|40.7465053|-73.94379909999999|1022|1203|-73.9932975|40.7295629|7.1 mi|40.7718584|-73.87163199999999|n/a|1944|-73.94385780000002|40.7465921
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-07 05:00:00-05:00|42 St - Port Authority Bus Terminal Station|2.6 mi|40.7573211|-73.99001369999999|762|1128|-73.99977539999999|40.7271183|9.0 mi|40.7718584|-73.87163199999999|n/a|2848|-73.989735|40.75730799999999
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 05:00:00-05:00|83 St/30 Av|9.9 mi|40.761503|-73.885429|n/a|2859|-73.99433259999999|40.7285304|1.8 mi|40.7715416|-73.8717269|300|334|-73.8855018|40.7614955
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 05:00:00-05:00|Roosevelt Av/82 St|8.8 mi|40.7476119|-73.8841818|n/a|2143|-73.99433259999999|40.7285304|3.2 mi|40.7715416|-73.8717269|490|527|-73.8841818|40.7476119
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 05:00:00-05:00|83 St/25 Av|10.0 mi|40.763305|-73.885729|n/a|2919|-73.99433259999999|40.7285304|1.2 mi|40.7692477|-73.8686737|376|368|-73.885824|40.763295
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 05:00:00-05:00|Roosevelt Av/80 St|8.7 mi|40.7474055|-73.8862043|n/a|2015|-73.99433259999999|40.7285304|3.1 mi|40.7715416|-73.8717269|426|483|-73.8862043|40.7474055
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 05:00:00-05:00|23 Av/90 St|10.7 mi|40.7677353|-73.8803724|n/a|3176|-73.99433259999999|40.7285304|1.1 mi|40.7692477|-73.8686737|206|231|-73.880374|40.7677352
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 05:00:00-05:00|83 St/Northern Bl|9.5 mi|40.7556261|-73.8843654|n/a|2718|-73.99433259999999|40.7285304|2.2 mi|40.7715416|-73.8717269|469|500|-73.8844125|40.7555631
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 05:00:00-05:00|Roosevelt Av/78 St|8.6 mi|40.7471813|-73.88771489999999|n/a|1928|-73.99433259999999|40.7285304|3.4 mi|40.7715416|-73.8717269|540|622|-73.8877146|40.747182
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 05:00:00-05:00|83 St/37 Av|9.1 mi|40.7502622|-73.883451|n/a|2413|-73.99433259999999|40.7285304|2.6 mi|40.7715416|-73.8717269|638|671|-73.883451|40.7502622
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 05:00:00-05:00|95 St/Ditmars Bl|11.1 mi|40.770302|-73.875496|n/a|3279|-73.99433259999999|40.7285304|0.4 mi|40.7692477|-73.8686737|98|100|-73.87554949999999|40.7702964
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 05:00:00-05:00|23 Av/88 St|10.6 mi|40.7674923|-73.8819686|n/a|3169|-73.99433259999999|40.7285304|1.0 mi|40.7692477|-73.8686737|187|217|-73.8819687|40.7674922
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-07 05:00:00-05:00|Roosevelt Av/76 St|8.5 mi|40.7470639|-73.8894742|n/a|1810|-73.99433259999999|40.7285304|2.9 mi|40.7715416|-73.8717269|375|423|-73.8894742|40.7470639
