origin|split_on_leg|drive_leg|avoid|destination|mode|units|timezone|departure_time|split_point|distance_mi|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y|distance_mi|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:50:00-05:00|Airport Station|5.9|42.374262|-71.030395||2024|-71.1196369|42.3650474|0.6|42.3747715|-71.0290294|104|108|-71.0305389|42.3745164
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-07 04:50:00-05:00|Aquarium|4.4|42.3597918|-71.0515702||1917|-71.1196369|42.3650474|3.1|42.3747715|-71.0290294|610|669|-71.0515464|42.3596586
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-07 05:00:00-05:00||9.8|42.3747715|-71.0290294|1330|1388|-71.1196369|42.3650474|||||||
Harvard transit station Boston MA|begin|||Airport station Boston MA|transit|imperial|eastern|2017-04-07 05:00:00-05:00||5.9|42.374262|-71.030395||2081|-71.1196369|42.3650474|||||||
Harvard transit station Boston MA|end|||Airport station Boston MA|transit|imperial|eastern|2017-04-07 05:00:00-05:00||5.9|42.374262|-71.030395||2081|-71.1196369|42.3650474|||||||
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-07 05:00:00-05:00|River St @ Fairmont St|0.6|42.3626423|-71.112429|332|329|-71.1196369|42.3650474|5.1|42.374262|-71.030395||1912|-71.112429|42.3626423
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-07 05:00:00-05:00|Western Ave @ Genzyme|0.087|42.3640131|-71.119818|78|80|-71.1196369|42.3650474|5.5|42.374262|-71.030395||2383|-71.119818|42.3640131
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-07 05:00:00-05:00|Massachusetts Ave @ Pearl St|1.2|42.3649836|-71.1029969|481|505|-71.1196369|42.3650474|4.7|42.374262|-71.030395||1470|-71.1029969|42.3649836
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-07 05:00:00-05:00|Cambridge St @ Mass Pike Exit|4.7|42.3606221|-71.1185263|811|821|-71.1196369|42.3650474|5.6|42.374262|-71.030395||2559|-71.1185263|42.3606221
Harvard transit station Boston MA|begin|start||Airport station Boston MA|transit|imperial|eastern|2017-04-07 05:00:00-05:00|Magazine St @ Auburn St|1.1|42.3639069|-71.1057979|425|440|-71.1196369|42.3650474|4.8|42.374262|-71.030395||1584|-71.1057979|42.3639069
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-07 05:00:00-05:00|State|4.5|42.3586466|-71.057326||2087|-71.1196369|42.3650474|3.1|42.3747715|-71.0290294|607|641|-71.0571914|42.3586696
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-07 05:00:00-05:00|Maverick|5.8|42.3691186|-71.0395296||2389|-71.1196369|42.3650474|1.4|42.3747715|-71.0290294|310|318|-71.0396719|42.3691933
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-07 05:00:00-05:00|Government Center|4.4|42.3597135|-71.0591799||1983|-71.1196369|42.3650474|2.9|42.3747715|-71.0290294|517|531|-71.0597895|42.3596291
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-07 05:00:00-05:00|Airport Station|6.4|42.374262|-71.030395||2509|-71.1196369|42.3650474|0.6|42.3747715|-71.0290294|105|108|-71.0305389|42.3745164
Harvard transit station Boston MA|end|finish||Airport station Boston MA|transit|imperial|eastern|2017-04-07 05:00:00-05:00|Aquarium|4.8|42.3597918|-71.0515702||2468|-71.1196369|42.3650474|3.1|42.3747715|-71.0290294|610|669|-71.0515464|42.3596586
Harvard transit station Boston MA|||tolls|Airport station Boston MA|driving|imperial|eastern|2017-04-07 05:10:00-05:00||9.8|42.3747715|-71.0290294|1290|1388|-71.1196369|42.3650474|||||||
